Id,SalePrice
2658,162500.0
2718,162500.0
2414,162500.0
1989,162500.0
625,162500.0
333,162500.0
1327,162500.0
858,162500.0
95,162500.0
1568,162500.0
2482,162500.0
1364,162500.0
2584,162500.0
818,162500.0
2673,162500.0
2089,162500.0
1297,162500.0
790,162500.0
2616,162500.0
720,162500.0
222,162500.0
557,162500.0
1148,162500.0
2766,162500.0
534,162500.0
1452,162500.0
630,162500.0
2648,162500.0
125,162500.0
1904,162500.0
1670,162500.0
756,162500.0
717,162500.0
1032,162500.0
852,162500.0
1731,162500.0
2639,162500.0
2071,162500.0
1267,162500.0
1851,162500.0
567,162500.0
2439,162500.0
1898,162500.0
647,162500.0
2256,162500.0
979,162500.0
1444,162500.0
2485,162500.0
157,162500.0
88,162500.0
2003,162500.0
186,162500.0
1425,162500.0
2695,162500.0
738,162500.0
395,162500.0
1353,162500.0
1878,162500.0
390,162500.0
1456,162500.0
1103,162500.0
1387,162500.0
2070,162500.0
1199,162500.0
2479,162500.0
501,162500.0
2362,162500.0
1718,162500.0
2188,162500.0
1483,162500.0
2557,162500.0
437,162500.0
2224,162500.0
1628,162500.0
397,162500.0
587,162500.0
2182,162500.0
971,162500.0
2611,162500.0
1887,162500.0
2399,162500.0
2148,162500.0
304,162500.0
1997,162500.0
2817,162500.0
1431,162500.0
427,162500.0
263,162500.0
598,162500.0
2895,162500.0
687,162500.0
1822,162500.0
2191,162500.0
179,162500.0
1009,162500.0
2010,162500.0
1991,162500.0
1411,162500.0
1721,162500.0
1144,162500.0
593,162500.0
575,162500.0
1249,162500.0
1604,162500.0
1064,162500.0
1923,162500.0
1988,162500.0
2325,162500.0
114,162500.0
2700,162500.0
217,162500.0
343,162500.0
386,162500.0
2005,162500.0
2908,162500.0
1814,162500.0
2446,162500.0
208,162500.0
1679,162500.0
822,162500.0
6,162500.0
1781,162500.0
2397,162500.0
2340,162500.0
1618,162500.0
2843,162500.0
1061,162500.0
2786,162500.0
1935,162500.0
1341,162500.0
521,162500.0
2136,162500.0
996,162500.0
227,162500.0
135,162500.0
1167,162500.0
294,162500.0
1776,162500.0
540,162500.0
1717,162500.0
2303,162500.0
116,162500.0
127,162500.0
1371,162500.0
1014,162500.0
1507,162500.0
702,162500.0
750,162500.0
261,162500.0
1559,162500.0
577,162500.0
2812,162500.0
2080,162500.0
1368,162500.0
